Id,child_2020_sum,child_2025_sum,child_2030_sum,child_2035_sum,labor_2020_sum,labor_2025_sum,labor_2030_sum,labor_2035_sum,old_2020_sum,old_2025_sum,old_2030_sum,old_2035_sum
0,619.3965153451308,619.3965153451308,619.3965153451308,619.3965153451308,2157.2505321252843,2191.8450781592155,2201.5435879068536,2069.5254730378206,223.08104828270473,334.07112964364444,538.4972837976487,855.0124438436311
1,1143.6174316331967,1143.6174316331967,1143.6174316331967,1143.6174316331967,3983.0209379035555,4046.894992385844,4064.801060290455,3821.050462161402,411.88376121850683,616.8094129257041,994.2498131550668,1578.6449326408533
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,268.5654447571662,268.5654447571662,268.5654447571662,268.5654447571662,991.8454056070243,1007.7510490293688,1012.2099103278017,951.511701104772,95.8658720231174,143.56228675717324,231.41148029294834,367.4293358186084
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,279.2178442732488,279.2178442732488,279.2178442732488,279.2178442732488,1421.5159155161377,1427.3153722967406,1423.450642838269,1356.8667504309753,87.99293618665024,139.59429458684497,234.98407369096705,391.6910065018874
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,53.83589195467372,53.83589195467372,53.83589195467372,53.83589195467372,314.55417724542775,319.59853892916504,321.01265984255645,301.7627514100781,14.834754971990689,22.215528200160445,35.80974296900419,56.85781184619722
9,49.5671306631612,49.5671306631612,49.5671306631612,49.5671306631612,331.8083509302247,335.89226575791696,335.81013444893847,310.83176439161474,17.847480437442282,25.67416725821541,39.186814971496204,59.892048762987216
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,161.38975091323903,161.38975091323903,161.38975091323903,161.38975091323903,959.8718260866113,975.2647654300243,979.5800272393994,920.8383215381738,40.52929946378876,60.69394786910889,97.83402062915818,155.33841684300262
12,11.526264085092127,11.526264085092127,11.526264085092127,11.526264085092127,49.91717357853298,50.71766546723018,50.94207698618273,47.887278175742324,3.247823067233332,4.863721481189983,7.8399478082648715,12.44807449053815
13,500.6619872421144,500.6619872421144,500.6619872421144,500.6619872421144,2047.4162540312125,2055.7690871522477,2050.2028895580793,1954.301693630904,155.0347949996629,245.95125482298894,414.0185708362346,690.1205618917687
14,252.4790029574005,252.4790029574005,252.4790029574005,252.4790029574005,1590.3199546383948,1596.8080349821068,1592.484467041566,1517.9938567394056,58.97278412408912,93.55596212542265,157.48609867352306,262.5109027294381
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,203.1226459239538,203.1226459239538,203.1226459239538,203.1226459239538,1048.1593412807506,1052.435583485875,1049.5858892098152,1000.4900992994868,53.98585088891063,85.64456793694067,144.1685555466792,240.31211325195875
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,556.7952169717456,556.7952169717456,556.7952169717456,556.7952169717456,2688.1208221686165,2703.331772179369,2656.218291347875,2415.0545749166813,316.5275040365227,452.6831755193945,674.0025386342647,947.2943217682945
