id,avg_dist_transportation,avg_dist_sports,avg_dist_healthcare,avg_dist_government,avg_dist_life,avg_dist_culture,avg_dist_shopping,avg_dist_tourist,avg_dist_restaurant
0,879.1554,909.2733000000001,333.347,923.3664000000001,871.3014999999999,1240.8126,424.47300000000007,1305.7023,287.5847
1,857.2119,738.0381,287.312,822.1271,585.7146,256.2201,812.9397,274.6357,67.15979999999999
2,9167.9246,8751.593700000001,7935.3437,7122.3663,8207.9043,10175.1822,11085.804399999999,6973.7433,8860.686
3,,,,,,,,,
4,1416.3899,1084.3464,2332.1226,2196.203,1873.45,2785.32,2017.4742,2641.2775,1492.1057
5,1732.1970000000001,1653.4803,1222.4097,2210.2529999999997,1845.3203999999998,2675.8641,1832.4209999999998,4551.5475,1299.8129
6,421.2622,696.8972,318.0543,616.4966999999999,362.3021,1130.8537000000001,105.758,964.9083999999999,110.67179999999999
7,3586.2929000000004,3094.5041,3933.8032999999996,5141.5536999999995,5175.377,5411.1751,4659.897,6166.326800000001,4176.102199999999
8,6973.4129,7397.2545,7764.6852,8023.356900000001,7264.7197,12113.622200000002,5428.844599999999,6610.6708,4599.475100000001
9,974.6119000000001,1168.65,473.2894,473.57880000000006,563.1087,5773.9508000000005,332.5661,2218.18,169.723
10,4024.8879,5106.170800000001,4324.0426,3317.535,2931.5424,10759.506,1313.0941,3270.2992000000004,1538.9808
11,620.4123999999999,1884.7818,958.8967,863.9585999999999,985.7700000000001,3999.7689,992.6575,1547.2186,843.4449000000001
12,5635.0586,5208.3654,3926.2118,6223.9587,3021.7068,9508.586299999999,3094.6061,6050.7062,3055.4862000000003
13,417.01689999999996,654.6650999999999,294.9194,334.22860000000003,381.6128,1673.812,177.4934,900.4816000000001,79.6645
14,583.9984999999999,277.75370000000004,371.6782,1025.7658,576.2810000000001,834.9848,604.0887,719.8999,482.4243
15,3749.0415000000003,4773.8873,4061.4714,4664.499900000001,4355.4453,5542.5663,3833.0274,6616.741899999999,4740.5524
16,1464.2735,4816.965,1934.6954,2309.3789,1612.865,6514.8141000000005,1405.7747,3533.7938000000004,1433.7829
17,6552.2411999999995,6338.6039,12518.234,8783.7105,5793.8326,16755.5921,6363.1726,7584.0314,5527.5123
18,472.5366,1530.2173,1362.1961999999999,593.1205,1382.7131,3644.1138,363.537,2238.1866999999997,349.0191
19,969.6196,1451.8405,1889.3872999999999,1450.6287,1724.2898999999998,2742.7784,1654.3702,1752.0211,1167.5371
20,16266.5953,23659.1268,9329.7351,18470.889600000002,11413.026600000001,24567.9146,9491.4626,18876.4866,11461.219000000001
21,479.34319999999997,631.9926,201.1876,453.18500000000006,275.1297,958.2747999999999,156.2534,1411.8874,209.9985
22,1087.1290000000001,1125.986,1092.8908,1018.9417,959.2225000000001,2358.654,490.39520000000005,982.3597,854.1762999999999
23,397.8469,132.996,287.302,438.38500000000005,260.1553,958.1568,307.9931,793.0949,117.3306
24,2121.8681,1712.2172999999998,7933.7287,6491.0501,5873.0625,3240.3239000000003,607.9082999999999,1412.0983,577.0043
25,694.1491,1065.532,386.8555,658.1573,547.0423000000001,1444.3799,381.5174,2398.8522,346.3239
26,963.3616,1694.3126,722.345,836.7232,582.1647,3711.7745000000004,846.1165000000001,1884.3057000000001,148.1458
27,587.5427999999999,364.06010000000003,322.2353,843.2531000000001,415.4306,1251.5952,313.69,1326.4053,178.0595
28,797.7774000000001,986.6878999999999,621.2175,1082.7119,786.3165,3422.5887000000002,417.80010000000004,1699.3096,66.7353
29,570.7902,1421.9191999999998,266.6664,467.4401,420.6561,4804.1652,252.744,1455.2664,140.35520000000002
30,1070.3843000000002,614.5951,1176.9622,1044.3604,489.95770000000005,1725.8744,861.4495,585.4146000000001,424.0559
31,2532.0235999999995,5501.5638,4992.7644,2734.9565,1098.3863,5444.6974,4148.4074,6239.2417000000005,808.8661
32,,,,,,,,,
33,918.6637000000001,636.1161,174.6621,930.8754000000001,213.91459999999998,1844.1755,112.5056,888.4495000000001,90.8619
34,529.2652,433.63379999999995,71.2646,581.0553,383.2192,1105.2379,175.0076,875.5205,61.174699999999994
35,7622.477199999999,7163.4494,6512.9912,7658.157099999999,8420.484699999999,7538.1535,8832.8059,7353.2618,2631.4371
36,5168.0107,5303.6714,5680.3246,5830.7831,6190.505999999999,7324.426799999999,6089.2738,5609.6963000000005,2358.8397
37,8319.4377,8597.286100000001,10546.7857,10152.447900000001,6919.6451,11058.092200000001,9846.9768,7430.7508,6506.803900000001
38,11932.8652,16261.7891,9026.219000000001,13892.3739,11966.071899999999,18969.2621,15481.1963,14122.7693,15121.885
39,2949.3541,3293.7461000000003,3405.0961,3462.0472999999997,2900.9581,5241.9997,2521.5464,3039.326,2453.9836999999998
40,888.4415999999999,1258.6413,379.3208,1288.8308000000002,382.9596,3486.2593,127.22560000000001,4118.9146,76.269
41,629.913,920.9615,453.4282,511.53999999999996,627.1982,752.3345999999999,412.69750000000005,1398.7239,356.93
42,2878.0793000000003,3293.5587,4881.8297,3538.792,4189.542100000001,4280.8103,4662.2715,4493.4251,3978.6519999999996
43,1357.9852999999998,2925.2095999999997,2325.4326,2813.6669,2064.73,5790.351000000001,2497.8581,4989.3542,2435.4366
44,3535.0873999999994,2919.3487,3825.6678,3266.9988,4252.9834,5249.1291,3080.0521,3201.8704000000002,11092.496000000001
45,760.8649,1087.8761,648.7016,1094.2541,662.3242,3564.0866,457.0093,1858.2412,452.46189999999996
46,713.1983,1759.9506000000001,362.62919999999997,635.688,499.0428,3182.567,207.6741,1403.1137,141.32670000000002
47,593.1623999999999,762.958,235.17860000000002,813.14,277.18670000000003,1178.5509,142.28019999999998,1112.9022,41.4149
48,1417.4285,1650.1639,1885.7518,1502.1448,1664.0368000000003,3977.3731,1292.5603,1738.9269,1108.8366
49,9795.3127,11801.2123,9369.437399999999,8802.6841,8945.2411,12380.437,11292.5733,7512.2454,11246.3771
50,1025.8637,3342.5417,723.2968,830.8792,1417.5311,5655.8596,135.1607,2871.7288,47.8592
51,5858.264,5005.0887999999995,5908.6472,3518.7599999999998,4910.090200000001,10803.3144,3042.6904,6475.225,3027.2321
52,810.9236,1621.5825,1496.3654999999999,1165.7766,2416.1837,3667.4517,1257.7312,2965.8104,1109.8811
53,672.1494,1155.9744,654.0768,353.2323,1053.9280999999999,1632.9125,460.7485,2022.0789,327.3947
54,3977.4788,4038.862,4341.4419,3750.4222999999997,3684.9608999999996,6281.561299999999,3199.3146,3045.2704000000003,3318.7186
55,1517.9603,2936.786,1508.6972,1808.6191999999999,1785.8761,3253.1580999999996,1324.2943,1891.6186000000002,607.9565
56,5726.4486,8311.6487,11288.3994,6489.9818,6179.3899,13857.8599,5964.2999,5918.8517999999995,3361.8285000000005
57,1275.7267,1928.9215,1000.8824999999999,1605.4726999999998,738.3691,3937.209,636.6398999999999,2579.9900000000002,767.7469
58,731.383,1669.0771,727.5865,1341.3159,814.4992,3201.5986000000003,119.66069999999999,4636.0061000000005,53.92960000000001
59,622.2744,672.5051000000001,475.5484,559.0438,553.7203999999999,758.4118000000001,460.3232,841.2212999999999,410.617
60,445.6669,284.5663,174.9717,91.3096,213.67350000000002,813.0899999999999,120.2784,523.8055,84.7071
61,938.4109000000001,1168.7628,482.3375,1173.1846,506.8808,2743.2783,430.56059999999997,1765.827,413.3086
62,745.6285,695.4648,807.2023,1108.2117,887.0676,1643.9605,885.9030999999999,1461.8723,933.8538000000001
63,1626.018,799.297,975.6956,1251.8966,789.7358,2737.0456999999997,816.3407,1918.8825000000002,501.87420000000003
64,13247.411499999998,13466.1348,11886.3133,11125.8928,13516.5492,13072.1083,12947.4653,11259.5223,14161.419
65,528.638,621.9125,446.69269999999995,637.9615,417.296,2896.2591999999995,209.8427,1002.1528000000001,188.4538
66,4051.5535000000004,2403.0573,10655.3935,3112.0553,6238.554099999999,14184.857800000002,1294.2354,1795.6735,1168.9032
67,1388.3143,1477.4361000000001,1323.0494999999999,1388.6924,889.9209000000001,1958.6999,1220.163,2049.1645,1042.434
68,6552.2437,4674.8663,18607.2757,8783.0534,5553.6296999999995,19154.6983,4579.6201,7532.2308,3881.1513999999997
