Id,JDNAME,ratio_pop,ratio_child,ratio_labor,ratio_old
92,坂田,1.868042149,3.107379837,1.704528568,3.085177833
93,西乡,1.631334739,2.788388017,1.47720122,2.81787235
94,西乡,1.631334739,2.788388017,1.47720122,2.81787235
95,园山,1.307601366,1.42019498,1.296267564,1.166472805
96,西丽,0.839335242,0.798999385,0.854103057,0.71050897
97,盐田,0.529857404,0.701054974,0.497152473,0.636912108
98,观湖,1.361897993,2.347528484,1.238478236,2.111823904
99,西乡,1.631334739,2.788388017,1.47720122,2.81787235
100,西乡,1.631334739,2.788388017,1.47720122,2.81787235
101,南头,0.802423551,0.937484878,0.756033588,1.186319263
102,新湖,1.006229174,1.280551781,0.972446616,1.196007592
103,南澳,0.648221637,0.827786977,0.569818484,1.67262427
104,西丽,0.839335242,0.798999385,0.854103057,0.71050897
105,燕罗,0.931613011,0.943310828,0.933575783,0.827037907
106,粤海,1.130042235,1.319482028,1.064736175,1.672191486
107,沙河,0.95058121,1.011315789,0.892188529,1.676762445
108,南湖,2.001449643,1.832025039,2.042862936,1.848475497
109,南湾,1.729824152,2.266522878,1.606304647,2.734644297
110,龙田,0.55828226,0.581945191,0.55793284,0.48795227
111,龙城,1.032790398,1.534438793,0.913494517,1.828797433
112,福城,1.297196789,1.62272861,1.258331072,1.48207438
113,南澳,0.648221637,0.827786977,0.569818484,1.67262427
114,坂田,1.868042149,3.107379837,1.704528568,3.085177833
115,观澜,0.879911918,1.167959005,0.843848794,1.091015454
116,招商,0.698220414,0.85345792,0.63570293,1.281710956
117,南湾,1.729824152,2.266522878,1.606304647,2.734644297
118,坪地,0.862559819,0.909160933,0.856301772,0.836471827
119,石岩,1.463832996,2.01273977,1.397455731,1.786847207
120,大鹏,0.552416995,0.593533944,0.529832153,0.882928136
121,西乡,1.631334739,2.788388017,1.47720122,2.81787235
122,松岗,0.80411268,1.296844841,0.745411299,1.079422783
123,公明,1.096042471,1.73918053,1.022954368,1.33889803
124,宝龙,0.782480518,0.904079009,0.762111348,0.798386063
125,东湖,2.718477582,4.241413565,2.362029002,4.121560777
126,宝龙,0.782480518,0.904079009,0.762111348,0.798386063
127,公明,1.096042471,1.73918053,1.022954368,1.33889803
128,福永,1.30367256,1.959614418,1.224718292,1.697400331
129,观湖,1.361897993,2.347528484,1.238478236,2.111823904
130,坂田,1.868042149,3.107379837,1.704528568,3.085177833
131,南澳,0.648221637,0.827786977,0.569818484,1.67262427
132,观湖,1.361897993,2.347528484,1.238478236,2.111823904
133,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
134,东湖,2.718477582,4.241413565,2.362029002,4.121560777
135,南头,0.802423551,0.937484878,0.756033588,1.186319263
136,东晓,2.092662181,3.122468633,1.903274604,2.298147176
137,光明,0.929911199,1.729660972,0.802449921,2.442796549
138,大浪,1.27398401,1.995108214,1.189943817,1.615465016
139,园山,1.307601366,1.42019498,1.296267564,1.166472805
140,东门,1.154323116,1.526416089,1.07867273,1.312471423
141,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
142,沙头角,1.537281291,2.010741046,1.378543288,3.022073593
143,梅林,0.839620488,0.99390063,0.799138721,0.996311587
144,新湖,1.006229174,1.280551781,0.972446616,1.196007592
145,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
146,坪地,0.862559819,0.909160933,0.856301772,0.836471827
147,燕罗,0.931613011,0.943310828,0.933575783,0.827037907
148,宝龙,0.782480518,0.904079009,0.762111348,0.798386063
149,宝龙,0.782480518,0.904079009,0.762111348,0.798386063
150,南澳,0.648221637,0.827786977,0.569818484,1.67262427
151,南头,0.802423551,0.937484878,0.756033588,1.186319263
152,石岩,1.463832996,2.01273977,1.397455731,1.786847207
153,西丽,0.839335242,0.798999385,0.854103057,0.71050897
154,福海,1.044401683,1.256956045,1.025150175,0.962315622
155,石岩,1.463832996,2.01273977,1.397455731,1.786847207
156,新湖,1.006229174,1.280551781,0.972446616,1.196007592
157,马峦,1.118321354,1.350914941,1.074899653,1.241103468
158,光明,0.929911199,1.729660972,0.802449921,2.442796549
159,西丽,0.839335242,0.798999385,0.854103057,0.71050897
160,沙河,0.95058121,1.011315789,0.892188529,1.676762445
161,福海,1.044401683,1.256956045,1.025150175,0.962315622
162,坪地,0.862559819,0.909160933,0.856301772,0.836471827
163,龙田,0.55828226,0.581945191,0.55793284,0.48795227
164,新桥,1.151349327,1.693095925,1.090308406,1.338545407
165,航城,1.099995116,1.499080794,1.052127897,1.333922652
166,航城,1.099995116,1.499080794,1.052127897,1.333922652
167,航城,1.099995116,1.499080794,1.052127897,1.333922652
168,梅沙,0.586567474,0.608693637,0.559599355,0.998563483
169,南澳,0.648221637,0.827786977,0.569818484,1.67262427
170,南澳,0.648221637,0.827786977,0.569818484,1.67262427
171,桃源,0.920192043,1.08840051,0.87629484,1.22730542
172,大鹏,0.552416995,0.593533944,0.529832153,0.882928136
173,南澳,0.648221637,0.827786977,0.569818484,1.67262427
174,南头,0.802423551,0.937484878,0.756033588,1.186319263
175,新安,1.096075918,1.859223965,0.96771805,1.983177573
176,沙河,0.95058121,1.011315789,0.892188529,1.676762445
177,观澜,0.879911918,1.167959005,0.843848794,1.091015454
178,西丽,0.839335242,0.798999385,0.854103057,0.71050897
179,梅沙,0.586567474,0.608693637,0.559599355,0.998563483
180,坂田,1.868042149,3.107379837,1.704528568,3.085177833
181,西乡,1.631334739,2.788388017,1.47720122,2.81787235
182,南澳,0.648221637,0.827786977,0.569818484,1.67262427
183,新湖,1.006229174,1.280551781,0.972446616,1.196007592
184,葵涌,0.728515354,0.855438048,0.683839975,1.230088197
185,凤凰,1.34591813,1.702140729,1.304595232,1.508264749
186,南澳,0.648221637,0.827786977,0.569818484,1.67262427
187,新湖,1.006229174,1.280551781,0.972446616,1.196007592
